funcao;categoria;assinatura_oficial;situacao;id_matriz;fonte
AbrirPortaComunicacao;comunicacao;byte AbrirPortaComunicacao(int Porta);DECLARADA_NO_PRODUTO;EI-002;SDK 6.0.2.0 EasyInner.cs
AcionarBipCurto;tempo real;byte AcionarBipCurto(int Inner);DECLARADA_NO_PRODUTO;EI-048;SDK 6.0.2.0 EasyInner.cs
AcionarBipLongo;tempo real;byte AcionarBipLongo(int Inner);DECLARADA_NO_PRODUTO;EI-049;SDK 6.0.2.0 EasyInner.cs
AcionarRele1;tempo real;byte AcionarRele1(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
AcionarRele2;tempo real;byte AcionarRele2(int Inner);DECLARADA_NO_PRODUTO;EI-047;SDK 6.0.2.0 EasyInner.cs
ApagarHorariosAcesso;listas;byte ApagarHorariosAcesso(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ApagarHorariosSirene;listas;byte ApagarHorariosSirene(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ApagarListaAcesso;listas;byte ApagarListaAcesso(int Inner);DECLARADA_NO_PRODUTO;EI-036;SDK 6.0.2.0 EasyInner.cs
ApagarMensagensOffLine;listas;byte ApagarMensagensOffLine(int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ApagarTodosUsuariosVerid;biometria;byte ApagarTodosUsuariosVerid(int Inner, string SenhaAdm);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ApagarUsuarioVerid;biometria;byte ApagarUsuarioVerid(int Inner, string Cartao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
AtribuirContadorGiro;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
AvisarQuandoMemoriaCheia;outros;byte AvisarQuandoMemoriaCheia(byte Avisa);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
CartaoMasterLiberaAcesso;outros;byte CartaoMasterLiberaAcesso(byte Libera);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ColetarBilhete;coleta;byte ColetarBilhete(int Inner, ref byte Tipo, ref byte Dia, ref byte Mes, ref byte Ano, ref byte Hora, ref byte Minuto, StringBuilder Cartao);DECLARADA_NO_PRODUTO;EI-039;SDK 6.0.2.0 EasyInner.cs
CompararDigitalLeitor;biometria;byte CompararDigitalLeitor(int Inner, byte[] Template);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
CompararPINVerid;biometria;byte CompararPINVerid(int Inner, string Cartao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
CompararTemplateVerid;biometria;byte CompararTemplateVerid(int Inner, byte[] Template);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConectarModem;comunicacao;int ConectarModem(int Porta, string Str, int Tom, string Telefone, int Inner);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarAcionamento1;configuracao;byte ConfigurarAcionamento1(byte Funcao, byte Tempo);DECLARADA_NO_PRODUTO;EI-016;SDK 6.0.2.0 EasyInner.cs
ConfigurarAcionamento2;configuracao;byte ConfigurarAcionamento2(byte Funcao, byte Tempo);DECLARADA_NO_PRODUTO;EI-017;SDK 6.0.2.0 EasyInner.cs
ConfigurarAjustesQualidadeBio;biometria;byte ConfigurarAjustesQualidadeBio(int Inner, byte Registro, byte Verificacao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarAjustesSegurancaBio;biometria;byte ConfigurarAjustesSegurancaBio(int Inner, byte Identificacao, byte Verificacao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarAjustesSensibilidadeBio;biometria;byte ConfigurarAjustesSensibilidadeBio(int Inner, byte Ganho, byte Brilho, byte Contraste);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarBio;biometria;byte ConfigurarBio(int Inner, byte HabilitaIdentificacao, byte HabilitaVerificacao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
ConfigurarBioVariavel;biometria;void ConfigurarBioVariavel(int Maior);DECLARADA_NO_PRODUTO;EI-026;SDK 6.0.2.0 EasyInner.cs
ConfigurarBotaoExternoOffline;configuracao;byte ConfigurarBotaoExternoOffline(byte Funcao);DECLARADA_NO_PRODUTO;;SDK 6.0.2.0 EasyInner.cs
